Activity database,Activity code,Activity name,Activity unit,Activity type,Exchange database,Exchange input,Exchange amount,Exchange unit,Exchange type,Exchange uncertainty type,Exchange loc,Exchange scale,pedigree,scale without pedigree,Exchange's common name,Exchange location,Exchange category,comment
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,741636cdded238d2c2e847b3be021372,1.60E-06,kilogram,technosphere,2,-13.34800744,0.068556546,"{'reliability': 2, 'completeness': 4, 'temporal correlation': 3, 'geographical correlation': 3, 'further technological correlation': 1}",0,tap water,CA-QC,,Environmental report
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,126bb47624bcb774cf58313e1e600440,0.000687404,kilogram,technosphere,2,-7.282588381,0.068556546,"{'reliability': 2, 'completeness': 4, 'temporal correlation': 3, 'geographical correlation': 3, 'further technological correlation': 1}",0,tap water,RoW,,Environmental report
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,5202cffc51764a4e7e717c36ce2f7ae7,0.0067,kilowatt hour,technosphere,0,1,,,,"electricity, low voltage",US-TRE,,Electricity from Texas - Diesel production
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,15c21d3a7627dff8b65eb6bc7ff9d8ec,-2.23E-09,kilogram,technosphere,2,-19.921298,0.068556546,"{'reliability': 2, 'completeness': 4, 'temporal correlation': 3, 'geographical correlation': 3, 'further technological correlation': 1}",0,municipal solid waste,CY,,Environmental report
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,d1abbb1fd59074df6a4dc88e4d987e40,-8.85E-09,kilogram,technosphere,2,-18.54287245,0.068556546,"{'reliability': 2, 'completeness': 4, 'temporal correlation': 3, 'geographical correlation': 3, 'further technological correlation': 1}",0,municipal solid waste,CA-QC,,Environmental report
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,9589d1271d1709d5c74382a7b5be3b22,-6.26E-06,kilogram,technosphere,2,-11.98150287,0.068556546,"{'reliability': 2, 'completeness': 4, 'temporal correlation': 3, 'geographical correlation': 3, 'further technological correlation': 1}",0,municipal solid waste,RoW,,Environmental report
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,29e6f639d202f06a4602807eb4cb353b,3,ton kilometer,technosphere,0,1,,,,"transport, freight train",US,,"Transport distance based on US BTS Commodity Flow Surveys 1993, 1997, 2002, 2007, US Dep. Of Transportation, Bureau of Transportation Statistics."
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,a34112fc9aa1bfd78905ad4d05f8949a,-3.39E-08,cubic meter,technosphere,2,-17.2005744,0.068556546,"{'reliability': 2, 'completeness': 4, 'temporal correlation': 3, 'geographical correlation': 3, 'further technological correlation': 1}",0,"wastewater, average",CH,,Used water
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,a6917503ea05b1d4b0c25b100cb0be3f,-6.55E-07,cubic meter,technosphere,2,-14.23844051,0.068556546,"{'reliability': 2, 'completeness': 4, 'temporal correlation': 3, 'geographical correlation': 3, 'further technological correlation': 1}",0,"wastewater, average",RoW,,Used water
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,biosphere3,2404b41a-2eed-4e9d-8ab6-783946fdf5d6,5.86E-07,cubic meter,biosphere,2,-14.3505435,0.206639783,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 3, 'geographical correlation': 1, 'further technological correlation': 1}",0.2,Water,,"('water',)",Calculated value based on literature values and expert opinion. See comments in the parametres' comment field.
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,biosphere3,075e433b-4be4-448e-9510-9a5029c1ce94,1.03E-07,cubic meter,biosphere,2,-16.08514455,0.206639783,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 3, 'geographical correlation': 1, 'further technological correlation': 1}",0.2,Water,,"('air',)",Calculated value based on literature values and expert opinion. See comments in the parametres' comment field.
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,ecoinvent 3_5 consequential,dd7f24185dbfb16dd7d775ee0031b949,0.00000188,unit,technosphere,2,-13.18423878,0.553172667,"{'reliability': 3, 'completeness': 1, 'temporal correlation': 3, 'geographical correlation': 5, 'further technological correlation': 1}",0.547722558,"lorry, 16 metric ton",GLO,,EcoSpold01Location=RER
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,Modified consequential datasets,Modified Lorry,1,ton kilometer,production,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,ecoinvent 3_5 consequential,8c99ac7e706eaff2a5ecceb467024467,-4.13E-05,kilogram,technosphere,2,-10.09351415,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,"brake wear emissions, lorry",GLO,,"Road freight specific non-exhaust emissions.

This dataset and the emission factors within it relate to 1kg of tyre wear. In order to use the treatment of non-exhaust emissions in a transport dataset the quantity of emissions per km must be calculated. Non-exhaust emissions are considered to be linearly scalable to gross vehicle weight (GVW). For brake wear emissions from lorries the specific quantity is 8.13E-9 kg/kg GVW*km. 

The GVW of the 3.5-7.5t lorries using an average load factor is 4984kg.

The value calculated must then be devided by the average load to give the non-exhaust emissions per tkm."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,ecoinvent 3_5 consequential,d525d884f6b92a428ba518e726487a79,0.00195,meter-year,technosphere,2,-6.239925906,0.553172667,"{'reliability': 3, 'completeness': 1, 'temporal correlation': 3, 'geographical correlation': 5, 'further technological correlation': 1}",0.547722558,road,GLO,,EcoSpold01Location=CH
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,Modified consequential datasets,Modified diesel import,0.109600812,kilogram,technosphere,0,1,,,,Modified diesel,CA-QC,,
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,ecoinvent 3_5 consequential,0dce972b5720668c4ec7e2ad1391ae8e,-0.000409654,kilogram,technosphere,2,-7.80019696,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,"tyre wear emissions, lorry",GLO,,"Road freight specific non-exhaust emissions.

This dataset and the emission factors within it relate to 1kg of tyre wear. In order to use the treatment of non-exhaust emissions in a transport dataset the quantity of emissions per km must be calculated. Non-exhaust emissions are considered to be linearly scalable to gross vehicle weight (GVW). For tyre wear emissions from lorries the specific quantity is 8.055E-8 kg/kg GVW*km. 

The GVW of the 3.5-7.5t lorries using an average load factor is 4984kg.

The value calculated must then be devided by the average load to give the non-exhaust emissions per tkm."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,ecoinvent 3_5 consequential,e4d43c7de013ed9b14cfbedeee052dde,0.00000188,unit,technosphere,2,-13.18423878,0.553172667,"{'reliability': 3, 'completeness': 1, 'temporal correlation': 3, 'geographical correlation': 5, 'further technological correlation': 1}",0.547722558,"maintenance, lorry 16 metric ton",GLO,,Calculated value based on lifetime vkm (540 000 for all lorry sizes) and average load factors (see Activity Description).
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,ecoinvent 3_5 consequential,9ef3c455211c4b6dad2672ee6a36d373,-0.0000356,kilogram,technosphere,2,-10.24316492,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,"road wear emissions, lorry",GLO,,"Road freight specific non-exhaust emissions.

This dataset and the emission factors within it relate to 1kg of tyre wear. In order to use the treatment of non-exhaust emissions in a transport dataset the quantity of emissions per km must be calculated. Non-exhaust emissions are considered to be linearly scalable to gross vehicle weight (GVW). For road wear emissions due to lorries the specific quantity is 7.0E-9 kg/kg GVW*km. 

The GVW of the 3.5-7.5t lorries using an average load factor is 4984kg.

The value calculated must then be devided by the average load to give the non-exhaust emissions per tkm."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,cfdbc576-e8dc-44ef-bdf2-ddd7009ce57e,8.16E-08,kilogram,biosphere,2,-16.32115353,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,m-Xylene,,"('air',)","Literature value. The NMVOC split is provided by the EMEP/EEA (2013) guidebook. All elementary NMVOC exchanges available in the ecoinvent database and quantified in the EMEP/EEA guidebook are provided. Total NMVOC's derived from HBEFA database (Keller, 2010).."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,ec8144d6-d123-43b1-9c17-a295422a0498,2.32E-09,kilogram,biosphere,2,-19.88017395,0.842199501,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.836660027,Copper,,"('air',)",Literature value. Fuel dependant emissions - heavy metal in fuel. Literature value. EMEP/EEA (2013) Tab. 3-100.
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,982b0510-96ac-4bcb-a758-e98006b95f4d,1.25E-08,kilogram,biosphere,2,-18.19807334,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,Butane,,"('air',)","Literature value. The NMVOC split is provided by the EMEP/EEA (2013) guidebook. All elementary NMVOC exchanges available in the ecoinvent database and quantified in the EMEP/EEA guidebook are provided. Total NMVOC's derived from HBEFA database (Keller, 2010).."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,d896ced7-a107-4017-b284-d95a8ef3e735,1.47E-07,kilogram,biosphere,2,-15.7299734,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,Acrolein,,"('air',)","Literature value. The NMVOC split is provided by the EMEP/EEA (2013) guidebook. All elementary NMVOC exchanges available in the ecoinvent database and quantified in the EMEP/EEA guidebook are provided. Total NMVOC's derived from HBEFA database (Keller, 2010).."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,28999907-a8a7-45b3-857e-836495ca2aa0,5.83E-09,kilogram,biosphere,2,-18.9602111,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,Benzene,,"('air',)","Literature value. The NMVOC split is provided by the EMEP/EEA (2013) guidebook. All elementary NMVOC exchanges available in the ecoinvent database and quantified in the EMEP/EEA guidebook are provided. Total NMVOC's derived from HBEFA database (Keller, 2010).."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,0795345f-c7ae-410c-ad25-1845784c75f5,2.05E-07,kilogram,biosphere,2,-15.401188,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,"Methane, fossil",,"('air',)","Literature value. Derived from HBEFA database (Keller, 2010)."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,3e5d7d91-67d7-4afb-91dd-36fab58e4685,8.57E-09,kilogram,biosphere,2,-18.57490709,0.842199501,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.836660027,"PAH, polycyclic aromatic hydrocarbons",,"('air',)",Literature value. PAH's per kg fuel use provided by the EMEP/EEA (2013) guidebook.
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,20185046-64bb-4c09-a8e7-e8a9e144ca98,1.60E-05,kilogram,biosphere,2,-11.0420722,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,Dinitrogen monoxide,,"('air',)","Literature value. Derived from HBEFA database (Keller, 2010)."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,a861cfae-a310-4e9d-b9eb-5d555c9a684c,7.00E-07,kilogram,biosphere,2,-14.17271993,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,Formaldehyde,,"('air',)","Literature value. The NMVOC split is provided by the EMEP/EEA (2013) guidebook. All elementary NMVOC exchanges available in the ecoinvent database and quantified in the EMEP/EEA guidebook are provided. Total NMVOC's derived from HBEFA database (Keller, 2010).."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,9cec94a2-e7fe-43f4-82f4-293c477f86dc,4.66E-08,kilogram,biosphere,2,-16.8807687,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,Styrene,,"('air',)","Literature value. The NMVOC split is provided by the EMEP/EEA (2013) guidebook. All elementary NMVOC exchanges available in the ecoinvent database and quantified in the EMEP/EEA guidebook are provided. Total NMVOC's derived from HBEFA database (Keller, 2010).."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,1ec6c4b4-ee5f-4788-8683-c95a84d6d63c,2.50E-08,kilogram,biosphere,2,-17.50492215,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,Heptane,,"('air',)","Literature value. The NMVOC split is provided by the EMEP/EEA (2013) guidebook. All elementary NMVOC exchanges available in the ecoinvent database and quantified in the EMEP/EEA guidebook are provided. Total NMVOC's derived from HBEFA database (Keller, 2010).."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,8e30c990-5ed4-4f94-9d0e-2f5e4ff1a1f9,2.50E-09,kilogram,biosphere,2,-19.80750725,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,Ethane,,"('air',)","Literature value. The NMVOC split is provided by the EMEP/EEA (2013) guidebook. All elementary NMVOC exchanges available in the ecoinvent database and quantified in the EMEP/EEA guidebook are provided. Total NMVOC's derived from HBEFA database (Keller, 2010).."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,3b1ecf8e-1d2c-4330-81da-a79f9068976d,8.33E-10,kilogram,biosphere,2,-20.90612194,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,Toluene,,"('air',)","Literature value. The NMVOC split is provided by the EMEP/EEA (2013) guidebook. All elementary NMVOC exchanges available in the ecoinvent database and quantified in the EMEP/EEA guidebook are provided. Total NMVOC's derived from HBEFA database (Keller, 2010).."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,10d26189-a688-4859-8aa9-525e058a07f0,1.14E-07,kilogram,biosphere,2,-15.986138,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,Benzaldehyde,,"('air',)","Literature value. The NMVOC split is provided by the EMEP/EEA (2013) guidebook. All elementary NMVOC exchanges available in the ecoinvent database and quantified in the EMEP/EEA guidebook are provided. Total NMVOC's derived from HBEFA database (Keller, 2010).."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,fd7aa71c-508c-480d-81a6-8052aad92646,1.75E-06,kilogram,biosphere,2,-13.25604335,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,Sulfur dioxide,,"('air',)","Literature value. Derived from HBEFA database (Keller, 2010)."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,d3260d0e-8203-4cbb-a45a-6a13131a5108,6.77E-06,kilogram,biosphere,2,-11.903667,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,"NMVOC, non-methane volatile organic compounds, unspecified origin",,"('air',)","Literature value. Derived from HBEFA database (Keller, 2010) and emissions inventory guidebook (EMEP/EEA, 2013). Unspecified NMVOC's represent NMVOC's for which no elementary exchange exists in the ecoinvent database. Total NMVOC's are given by the HBEFA database with the split being provided by the EMEP/EEA (2013) guidebook."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,ba2f3f82-c93a-47a5-822a-37ec97495275,0.00027173,kilogram,biosphere,2,-8.210701632,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,"Carbon monoxide, fossil",,"('air',)","Literature value. Derived from HBEFA database (Keller, 2010)."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,527d6cb5-bbd7-403d-8dcc-b6678fb123f5,3.33E-08,kilogram,biosphere,2,-17.21724308,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,o-Xylene,,"('air',)","Literature value. The NMVOC split is provided by the EMEP/EEA (2013) guidebook. All elementary NMVOC exchanges available in the ecoinvent database and quantified in the EMEP/EEA guidebook are provided. Total NMVOC's derived from HBEFA database (Keller, 2010).."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,516606eb-99f6-4e8c-b99a-6b439aaed48c,5.00E-09,kilogram,biosphere,2,-19.11436207,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,Pentane,,"('air',)","Literature value. The NMVOC split is provided by the EMEP/EEA (2013) guidebook. All elementary NMVOC exchanges available in the ecoinvent database and quantified in the EMEP/EEA guidebook are provided. Total NMVOC's derived from HBEFA database (Keller, 2010).."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,1c5a7322-9261-4d59-a692-adde6c12de92,9.54E-10,kilogram,biosphere,2,-20.77085337,0.842199501,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.836660027,Cadmium,,"('air',)",Literature value. Fuel dependant emissions - heavy metal in fuel. Literature value. EMEP/EEA (2013) Tab. 3-100.
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,454c61fd-c52b-4a04-9731-f141bb7b5264,1.10E-11,kilogram,biosphere,2,-25.23675971,0.842199501,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.836660027,Selenium,,"('air',)",Literature value. Fuel dependant emissions - heavy metal in fuel. Literature value. EMEP/EEA (2013) Tab. 3-100.
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,5ce378a0-b48d-471c-977d-79681521efde,1.90E-07,kilogram,biosphere,2,-15.47368714,0.842199501,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.836660027,Zinc,,"('air',)",Literature value. Fuel dependant emissions - heavy metal in fuel. Literature value. EMEP/EEA (2013) Tab. 3-100.
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,a5506f4b-113f-4713-95c3-c819dde6e48b,9.64E-10,kilogram,biosphere,2,-20.75942476,0.842199501,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.836660027,Nickel,,"('air',)",Literature value. Fuel dependant emissions - heavy metal in fuel. Literature value. EMEP/EEA (2013) Tab. 3-100.
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,c1b91234-6f24-417b-8309-46111d09c457,0.000127061,kilogram,biosphere,2,-8.970843272,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,Nitrogen oxides,,"('air',)","Literature value. Derived from HBEFA database (Keller, 2010)."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,81e17d9a-3e0b-414e-9b2e-eca7e5b3bd4a,6.58E-12,kilogram,biosphere,2,-25.74758685,0.842199501,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.836660027,Chromium VI,,"('air',)",Estimated value. Fuel dependant emissions - heavy metal in fuel. Estimated using the underlying assumption that 0.2% of the emitted Cr is emitted as Cr(IV). Fuel dependant emissions - heavy metal in fuel. Literature value for Cr. EMEP/EEA (2013) Tab. 3-100.
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,e142b577-e934-4085-9a07-3983d4d92afb,3.29E-09,kilogram,biosphere,2,-19.53298028,0.842199501,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.836660027,Chromium,,"('air',)",Literature value. Fuel dependant emissions - heavy metal in fuel. Literature value. EMEP/EEA (2013) Tab. 3-100.
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,21e46cb8-6233-4c99-bac3-c41d2ab99498,1.36E-06,kilogram,biosphere,2,-13.51004996,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,"Particulates, < 2.5 um",,"('air',)","Literature value. Derived from HBEFA database (Keller, 2010)."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,349b29d1-3e58-4c66-98b9-9d1a076efd2e,0.348041039,kilogram,biosphere,2,-1.055434878,0.099498744,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.024494897,"Carbon dioxide, fossil",,"('air',)","Literature value. Derived from HBEFA database (Keller, 2010)."
Modified consequential datasets,Modified Lorry,"transport, freight, lorry 3.5-7.5 metric ton, EURO6 - modified",ton kilometer,process,biosphere3,71234253-b3a7-4dfe-b166-a484ad15bee7,5.81E-10,kilogram,biosphere,2,-21.26647003,0.842199501,"{'reliability': 2, 'completeness': 2, 'temporal correlation': 4, 'geographical correlation': 4, 'further technological correlation': 1}",0.836660027,Mercury,,"('air',)",Literature value. Fuel dependant emissions - heavy metal in fuel. Literature value. EMEP/EEA (2013) Tab. 3-100.
